experiment_id,subaction_index,narration_id,narration,verb,noun,start_frame,stop_frame,raw_candidate_count,tried_candidate_count,final_status,final_fail_reason,best_candidate_frame_0_based,best_ref_idx,best_reference_gap,best_projection_source,best_projection_method,best_track_confidence,best_sample_score,best_sample_dir,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,best_mask_source_contact,best_mask_source_reference,best_tracker_backend,best_final_quality_score,best_affine_inlier_ratio,best_reference_handless_mode,best_inpaint_status,best_reference_hand_mask_area_ratio
E11,0,P01_109_0,grab rucksack,grab,rucksack,79,126,48,7,keep,,88.0,87.0,1.0,contact_part_local_affine,contact_part_local_affine,0.3419576826511731,6.3492560940186165,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,87,5,0.0835555555555555,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.06851356907894737
E11,1,P01_109_1,open rucksack,open,rucksack,153,226,97,12,keep,,170.0,169.0,1.0,contact_part_local_affine,contact_part_local_affine,0.3419576826511731,6.147504068549472,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,36,5,0.2160444444444444,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.12247293037280702
E11,2,P01_109_2,pick up eggs,pick-up,egg,252,319,133,3,discard,contact_points_lt5_after_object_boundary_filter,,,,,,,,,0,0,,,,,,,,,
E11,3,P01_109_3,put down eggs,put-down,egg,319,374,36,9,keep,,362.0,361.0,1.0,contact_part_local_affine,contact_part_local_affine,0.352451939139038,6.429987430274486,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left,98,5,0.0166666666666666,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.02554481907894737
E11,4,P01_109_4,pick up onion and potato,pick-up,onion,424,475,104,4,keep,,423.0,409.0,14.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,6.157472345054591,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left,59,5,0.1380444444444444,grabcut_fallback,bbox_fallback,cotracker,0.9951851851851852,0.9629629629629628,inpainted_bbox,success,0.1259251644736842
E11,5,P01_109_5,put down onion and potato,put-down,onion,480,523,31,4,keep,,480.0,470.0,10.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,5.61677707751592,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_05_P01_109_5/candidate_03_frame_000480_left,47,4,0.1177777777777777,grabcut_fallback,bbox_fallback,cotracker,0.871875,0.6875,inpainted_bbox,success,0.39907140899122806
E11,6,P01_109_8,pick up potato,pick-up,potato,500,622,140,6,keep,,527.0,526.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.11157916043202,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_06_P01_109_8/candidate_00_frame_000527_right,69,5,0.2295555555555555,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.1318359375
E11,7,P01_109_6,pick up potatoes,pick-up,potato,543,579,74,4,keep,,543.0,542.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,5.926714929302532,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_07_P01_109_6/candidate_03_frame_000543_left,18,4,0.0864444444444444,grabcut_fallback,bbox_fallback,cotracker,0.9125,1.0,inpainted_bbox,success,0.13635896381578946
E11,8,P01_109_7,put down potatoes,put-down,potato,550,734,190,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.262564054489134,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left,84,5,0.142,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.13647889254385964
E11,9,P01_109_9,put down potato,put-down,potato,625,752,136,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.262564054489134,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e11/experiments/E11/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left,84,5,0.142,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0,inpainted_bbox,success,0.13647889254385964
