experiment_id,subaction_index,narration_id,narration,frame_0_based,frame_1_based,hand,ref_idx,ref_frame_1_based,contact_points,trajectory_points,sample_score,sample_dir,reference_frame,label_heatmap_png,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
E1,0,P01_109_0,grab rucksack,78.0,79.0,left,67.0,68.0,109,6,6.775426356589147,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_00_P01_109_0/frame_000078_left/diagnostics/problem3_ref_crop.png
E1,21,P01_109_21,pick up cup,2088.0,2089.0,left,2076.0,2077.0,213,3,6.0798907103825135,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_21_P01_109_21/frame_002088_left/diagnostics/problem3_ref_crop.png
E1,22,P01_109_22,put down cup,2142.0,2143.0,right,2140.0,2141.0,241,6,9.757396449704142,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_22_P01_109_22/frame_002142_right/diagnostics/problem3_ref_crop.png
E1,24,P01_109_24,open drawer,2268.0,2269.0,right,2257.0,2258.0,46,6,5.784431818181818,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_24_P01_109_24/frame_002268_right/diagnostics/problem3_ref_crop.png
E1,27,P01_109_27,pour hand wash,2468.0,2469.0,right,2434.0,2435.0,19,6,4.988586118251928,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_27_P01_109_27/frame_002468_right/diagnostics/problem3_ref_crop.png
E1,28,P01_109_28,wash hands,2477.0,2478.0,right,2434.0,2435.0,27,6,5.058586118251928,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_28_P01_109_28/frame_002477_right/diagnostics/problem3_ref_crop.png
E1,29,P01_109_29,turn on tap,2544.0,2545.0,left,2434.0,2435.0,43,6,4.708586118251928,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_29_P01_109_29/frame_002544_left/diagnostics/problem3_ref_crop.png
E1,35,P01_109_35,put down cloth,3348.0,3349.0,right,3330.0,3331.0,94,6,6.66,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_35_P01_109_35/frame_003348_right/diagnostics/problem3_ref_crop.png
E1,48,P01_109_48,put down cutting board,4676.0,4677.0,right,4636.0,4637.0,151,6,7.53743119266055,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_48_P01_109_48/frame_004676_right/diagnostics/problem3_ref_crop.png
E1,53,P01_109_53,pick up peeler,4947.0,4948.0,right,4937.0,4938.0,42,6,5.716435935198822,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/reference_frame.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/label_heatmap_merged.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/label_heatmap_merged_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/vrb_style_affordance.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/diagnostics/problem3_ref_full_overlay.png,outputs/数据处理小批量测试前100个subaction/experiments/E1/pipeline_outputs/subaction_53_P01_109_53/frame_004947_right/diagnostics/problem3_ref_crop.png
