experiment_id,subaction_index,narration_id,narration,verb,noun,start_frame,stop_frame,raw_candidate_count,tried_candidate_count,final_status,final_fail_reason,best_candidate_frame_0_based,best_ref_idx,best_reference_gap,best_projection_source,best_projection_method,best_track_confidence,best_sample_score,best_sample_dir,contact_points,projected_contact_inside_count,reference_hand_overlap_ratio,best_mask_source_contact,best_mask_source_reference,best_tracker_backend,best_final_quality_score,best_affine_inlier_ratio
E10,0,P01_109_0,grab rucksack,grab,rucksack,79,126,48,7,keep,,88.0,87.0,1.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,6.3492560940186165,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_00_P01_109_0/candidate_00_frame_000088_left,87,5,0.08355555555555555,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E10,1,P01_109_1,open rucksack,open,rucksack,153,226,97,12,keep,,170.0,169.0,1.0,contact_part_local_affine,contact_part_local_affine,0.34195768265117316,6.147504068549472,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_01_P01_109_1/candidate_04_frame_000170_left,36,5,0.21604444444444446,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E10,2,P01_109_2,pick up eggs,pick-up,egg,252,319,133,3,discard,contact_points_lt5_after_object_boundary_filter,,,,,,,,,0,0,,,,,,
E10,3,P01_109_3,put down eggs,put-down,egg,319,374,36,9,keep,,362.0,361.0,1.0,contact_part_local_affine,contact_part_local_affine,0.35245193913903805,6.429987430274486,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_03_P01_109_3/candidate_00_frame_000362_left,98,5,0.016666666666666666,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E10,4,P01_109_4,pick up onion and potato,pick-up,onion,424,475,104,4,keep,,423.0,409.0,14.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,6.157472345054591,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_04_P01_109_4/candidate_02_frame_000423_left,59,5,0.13804444444444444,grabcut_fallback,bbox_fallback,cotracker,0.9951851851851853,0.9629629629629629
E10,5,P01_109_5,put down onion and potato,put-down,onion,480,523,31,4,keep,,480.0,470.0,10.0,contact_part_local_affine,contact_part_local_affine,0.6451351195242122,5.61677707751592,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_05_P01_109_5/candidate_03_frame_000480_left,47,4,0.11777777777777777,grabcut_fallback,bbox_fallback,cotracker,0.871875,0.6875
E10,6,P01_109_8,pick up potato,pick-up,potato,500,622,140,6,keep,,527.0,526.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.11157916043202,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_06_P01_109_8/candidate_00_frame_000527_right,69,5,0.22955555555555557,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E10,7,P01_109_6,pick up potatoes,pick-up,potato,543,579,74,4,keep,,543.0,542.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,5.926714929302532,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_07_P01_109_6/candidate_03_frame_000543_left,18,4,0.08644444444444445,grabcut_fallback,bbox_fallback,cotracker,0.9124999999999999,1.0
E10,8,P01_109_7,put down potatoes,put-down,potato,550,734,190,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.262564054489134,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_08_P01_109_7/candidate_07_frame_000645_left,84,5,0.142,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
E10,9,P01_109_9,put down potato,put-down,potato,625,752,136,12,keep,,645.0,644.0,1.0,contact_part_local_affine,contact_part_local_affine,0.5371707625918725,6.262564054489134,/root/workspace/vrb/vrbreproduction/outputs/100subaction-e10/experiments/E10/pipeline_outputs/subaction_09_P01_109_9/candidate_07_frame_000645_left,84,5,0.142,grabcut_fallback,bbox_fallback,cotracker,1.0,1.0
