subaction_index,narration_id,narration,verb,noun,episode_id_within_subaction,episode_contact_start_frame_0_based,frame_0_based,candidate_frame_offset_from_episode_start,hand,reference_mode,ref_idx,ref_gap,reference_anchor_gap,sample_dir,reference_frame,label_heatmap_overlay,vrb_style_affordance,problem3_full_overlay,problem3_crop
6,P01_109_8,pick up potato,pick-up,potato,1.0,527.0,527.0,0.0,right,strict_global_no_hand,509.0,18.0,18.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/diagnostics/problem3_ref_crop.png
21,P01_109_21,pick up cup,pick-up,cup,1.0,2088.0,2088.0,0.0,left,strict_global_no_hand,2076.0,12.0,12.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_21_P01_109_21/episode_01_left/frame_002088_left/diagnostics/problem3_ref_crop.png
22,P01_109_22,put down cup,put-down,cup,1.0,2142.0,2142.0,0.0,right,strict_global_no_hand,2140.0,2.0,2.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_22_P01_109_22/episode_01_right/frame_002142_right/diagnostics/problem3_ref_crop.png
27,P01_109_27,pour hand wash,pour,wash:hand,1.0,2468.0,2468.0,0.0,right,strict_global_no_hand,2434.0,34.0,34.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_27_P01_109_27/episode_01_right/frame_002468_right/diagnostics/problem3_ref_crop.png
28,P01_109_28,wash hands,wash,hand,1.0,2484.0,2484.0,0.0,right,strict_global_no_hand,2434.0,50.0,50.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_28_P01_109_28/episode_01_right/frame_002484_right/diagnostics/problem3_ref_crop.png
29,P01_109_29,turn on tap,turn-on,tap,1.0,2550.0,2550.0,0.0,right,strict_global_no_hand,2434.0,116.0,116.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_29_P01_109_29/episode_01_right/frame_002550_right/diagnostics/problem3_ref_crop.png
30,P01_109_30,rinse hands,rinse,hand,1.0,2708.0,2708.0,0.0,left,strict_global_no_hand,2434.0,274.0,274.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_30_P01_109_30/episode_01_left/frame_002708_left/diagnostics/problem3_ref_crop.png
35,P01_109_35,put down cloth,put-down,cloth,1.0,3356.0,3356.0,0.0,left,strict_global_no_hand,3330.0,26.0,26.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_35_P01_109_35/episode_01_left/frame_003356_left/diagnostics/problem3_ref_crop.png
47,P01_109_47,close cupboard,close,cupboard,1.0,4648.0,4648.0,0.0,left,strict_global_no_hand,4636.0,12.0,12.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_47_P01_109_47/episode_01_left/frame_004648_left/diagnostics/problem3_ref_crop.png
48,P01_109_48,put down cutting board,put-down,board:cutting,1.0,4692.0,4692.0,0.0,left,strict_global_no_hand,4636.0,56.0,56.0,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/reference_frame.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/label_heatmap_merged_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/vrb_style_affordance.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_full_overlay.png,outputs/e15/experiments/E15/pipeline_outputs/subaction_48_P01_109_48/episode_01_left/frame_004692_left/diagnostics/problem3_ref_crop.png
